timestamp,node_id,node_name,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,roll,pitch,yaw,rep_number
1767366963.3647628,2,right_wrist,1.2244,-0.6417,-0.4114,-127.96,101.5,-135.45,-0.25099212248210523,0.8049374006045823,0.19070759446412117,0.5027020479106628,-150.05555231446021,-64.82591856949466,7.383846046455134,0
1767366963.419185,1,left_wrist,1.2137,-0.102,-0.3382,1.19,102.34,154.21,0.5444996720226662,0.3933088625167575,-0.6987663722530185,0.246076823047883,163.5524099169906,-72.6545319106753,-109.12079034512435,0
1767366963.419185,2,right_wrist,1.0551,-0.1215,-0.4011,-116.9,46.55,-68.11,-0.19501885111018855,0.7991231283690046,0.18605510992780627,0.5373577667505606,-162.1241969007036,-68.6538829267166,13.953328932003153,0
1767366963.511117,1,left_wrist,1.1287,0.3601,-0.141,-14.07,49.7,69.3,0.5686667085165846,0.33526905745084745,-0.6957210689304033,0.2831696099288747,-176.23216337300204,-78.85549862315384,-131.63937699756642,0
1767366963.511117,2,right_wrist,0.9848,-0.4753,-0.3997,-74.83,29.4,-41.37,-0.10933127570686914,0.787201618237145,0.1708845752820003,0.582373373642562,174.83702099183836,-72.60311432336707,28.289304831924262,0
1767366963.568304,1,left_wrist,1.0277,0.0874,-0.2084,8.33,-15.4,-29.75,0.5674449902694519,0.36653858357962765,-0.6892162693372955,0.2619858466526816,165.9227536925496,-76.9670356008394,-112.77851449879812,0
1767366963.568304,2,right_wrist,1.0404,-0.2606,-0.4036,20.51,-39.13,39.06,-0.12693996050058048,0.8000630645963265,0.16185009563632513,0.5635511384420738,-176.4388882828211,-70.53468449949783,20.35404298135449,0
1767366963.61853,1,left_wrist,1.1161,0.3216,-0.367,-63.42,-27.02,-61.53,0.576025995851879,0.37507544617897415,-0.692370480244426,0.21939822210445883,151.88399654291246,-74.20222425003386,-101.66078424796798,0
1767366963.61853,2,right_wrist,1.1488,-0.306,-0.4821,10.5,-73.71,78.26,-0.1480723099125991,0.8232742856058427,0.1384214418430219,0.5302202807658675,-166.16244156968364,-66.06781244124123,10.065187240238316,0
1767366963.668535,1,left_wrist,1.2927,0.4592,-0.3865,-108.36,-71.89,-157.22,0.585233426913898,0.40337663868187595,-0.6911136213330721,0.1309621540606812,133.95624163353344,-66.14611390068619,-88.52329308305026,0
1767366963.668535,2,right_wrist,1.1488,-0.306,-0.4821,10.5,-73.71,78.26,-0.16934090378710004,0.8434819497599736,0.11463586211192413,0.49670965145800977,-159.0715879765616,-61.25352329573821,2.9987894671739643,0
1767366963.719867,1,left_wrist,1.3884,0.4787,-0.3309,-56.35,-120.54,-222.81,0.5707130309159502,0.459936142165946,-0.6793573541325131,0.03491370588046556,125.93542444632709,-53.85747311302889,-82.74240063532665,0
1767366963.719867,2,right_wrist,1.2263,-0.632,-0.4841,107.03,-173.67,181.51,-0.24148272144683025,0.8753095864363714,0.0809725097158838,0.4110506973665561,-146.85547196172112,-49.34974011644147,-4.999515920807038,0
1767366963.770396,1,left_wrist,1.2454,0.6422,-0.2172,-71.54,-105.49,-279.86,0.5557973816532101,0.5208026309629131,-0.6434970209028503,-0.07593071986159629,118.71276105146028,-39.510385937212696,-78.00862304106741,0
1767366963.770396,2,right_wrist,1.1775,-0.9067,-0.4514,48.65,-168.07,207.9,-0.2924982741787685,0.9000912489528066,0.026439416773385578,0.3218407376354055,-140.66390590456137,-36.50115780374469,-10.079171977992557,0
1767366963.859993,1,left_wrist,1.2454,0.6422,-0.2172,-71.54,-105.49,-279.86,0.5306499930387529,0.5716047957042221,-0.5981596792205864,-0.18407482329376512,114.0528281933665,-25.11210632873136,-76.15726291988348,0
1767366963.859993,2,right_wrist,1.0292,-0.7798,-0.527,-5.04,-187.81,221.06,-0.3390943223730163,0.9283234589372241,-0.09846257224505937,0.1163431046005707,-138.70939444694258,-8.582414828408467,-15.347736696472767,0
1767366963.9114208,1,left_wrist,1.079,0.7584,-0.1879,-43.96,-106.61,-283.99,0.48896615360707985,0.6197748356955196,-0.5445497865982163,-0.2832962823284598,111.55562033292034,-10.449744293376881,-75.4885537947789,0
1767366963.9114208,2,right_wrist,0.7862,-0.7159,-0.5407,31.01,-186.2,238.35,-0.36917237575084827,0.9148235634509535,-0.16342161075567216,0.010147998590636313,-136.97343498201576,5.859778476797083,-17.945158867026617,0
1767366963.96354,1,left_wrist,0.4812,0.6852,-0.1737,-19.53,-58.8,-264.67,0.4471813399121948,0.6648759718524178,-0.480998080801325,-0.3558224803930734,110.31364840764674,2.462694976733176,-73.48149415337632,0
1767366963.96354,2,right_wrist,0.1659,-0.9882,-0.3079,88.62,-82.67,232.89,-0.41153312003637404,0.8775314056318352,-0.24053799436238593,-0.05215933771687985,-133.2501787756625,16.82931807266235,-23.340663912822137,0
1767366964.022887,1,left_wrist,-0.0376,0.6432,-0.244,12.6,-25.62,-200.76,0.35481162226689344,0.731282207592592,-0.35845794096293965,-0.4591763823667875,111.05688991995434,24.658249639868394,-69.29409754063055,0
1767366964.022887,2,right_wrist,0.0166,-0.7013,-0.2777,-29.61,-66.36,204.19,-0.4031715310474845,0.8556609500989099,-0.303594207196611,-0.1145757931908801,-136.27583695065837,26.159859949976678,-28.418521558689356,0
1767366964.111339,1,left_wrist,-0.2752,0.2991,-0.2206,16.59,-26.39,-161.14,0.3084491363937826,0.7539970380159849,-0.3123188833128873,-0.48867628553802617,113.32063601121948,32.97356028239287,-67.03620668485179,0
